[पाठ्यक्रम परिचर्चा] - Part-1 || पाठ्यक्रम परिचर्चा || 22-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9cZnq42EufK/video.m3u8
[संख्या पद्धति(Number System)] - Part-3 || संख्या पद्धति || 25-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4SpF5JKR3xP/video.m3u8
[संख्या पद्धति(Number System)] - Part-4 || संख्या पद्धति || 26-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/App24YaUmgR/video.m3u8
[संख्या पद्धति(Number System)] - Part-5 || संख्या पद्धति || 28-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9bZxe6MQ4Cg/video.m3u8
[संख्या पद्धति(Number System)] - Part-6 || संख्या पद्धति || 29-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/AYzqJMyfg2Y/video.m3u8
[संख्या पद्धति(Number System)] - Part-7 || संख्या पद्धति || 01-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2545079/utk-43/1746095811/index.m3u8
[संख्या पद्धति(Number System)] - Part-8 || संख्या पद्धति || 02-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/AXXz5tNGHFH/video.m3u8
[घातांक के नियम] - Part-1 || घातांक के नियम || 03-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4ndqCzzXDsU/video.m3u8
[घातांक के नियम] - Part-2 || घातांक के नियम || 05-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/zGDJFdX29tT/video.m3u8
[दो चरों वाले रैखिक समीकरण] - Part-1 || दो चरों वाले रैखिक समीकरण || 06-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/B4fNn8yQHM7/video.m3u8
[दो चरों वाले रैखिक समीकरण] - Part-2 || दो चरों वाले रैखिक समीकरण || 07-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/PjZEJsEXC5b/video.m3u8
[दो चरों वाले रैखिक समीकरण] - Part-3 || दो चरों वाले रैखिक समीकरण || 13-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5fy7uDBFf5j/video.m3u8
[बहुपद ] - Part-1 || बहुपद || 14-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5NBQ6Jm5Zam/video.m3u8
[बहुपद ] - Part-2 || बहुपद || 15-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/APeduJeTukx/video.m3u8
[बहुपद ] - Part-3 || बहुपद || 16-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/dKK52a65gDg/video.m3u8
[बहुपद ] - Part-4 || बहुपद || 19-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5cjr69kEdB9/video.m3u8
[बहुपद ] - Part-5 || बहुपद || 19-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/632UdQ2MTEt/video.m3u8
